rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5,Excellent!  Yummy!,Excellent!! Yummy!  Great with other foods and great alone.,[],B00CM36GAQ,B00CM36GAQ,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-04-25 22:41:22.395,0,True
5,Delicious!!! Yum!,Excellent!  The best!  I use it with my beef and broccoli and to throw in chicken and rice soup. It’s also great by itself. Yum!,[],B074J5WVYH,B0759B7KLH,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-04-25 22:40:00.380,0,True
5,"Extremely Delicious, but expensive imo","These are very tasty. They are extremely soft and literally melt on your tongue. The sea salt is delicious.  The packaging is nice too. Yummy, but too pricey for my budget on a regular basis.  There were 21 caramels in my container.  They are about twice the size of the Werther’s Chewy caramels that I usually purchase.  They taste excellent. I wish they had some with pecans and/or walnuts or pistachios in them. I ordered the sea salt version. Yum!",[],B079TRNVHX,B079TRNVHX,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-04-25 22:20:24.527,1,True
5,Delicious!,My favorite!,[],B07194LN2Z,B07194LN2Z,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-02-10 05:41:59.614,0,True
5,Great taste,Great for making brownies and crinkle cookies.,[],B005CD4196,B005CD4196,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-02-10 05:41:34.965,7,True
5,Yummy!,Yummy for your tummy.,[],B07R2X568B,B0BG8M4XW7,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-02-10 05:41:03.026,0,True
5,Excellent tea & smells divine!,This is an excellent white tea and the jasmine is wonderful.,[],B07LDF9V2F,B07VV7T465,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-03-18 03:08:03.550,0,True
5,Like drinking a wedding bouquet!,This is my #1 favorite tea by my #1 favorite tea maker. It is just delicious and the smell is heavenly.,[],B000OQXXOA,B00ESE0DC4,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-03-18 03:06:27.841,0,True
5,Delicious!,I was never a huge fan of Earl Grey tea until I found this one. It’s exquisite.,[],B073DCD5GC,B073DDP593,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-03-18 03:04:22.155,1,True
5,Yummy tea with a cool tin,The tea is very good and I love the container. I can’t wait to buy more of them.,[],B009PO1JTS,B009PO1JTS,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-03-18 03:03:28.860,0,True
5,Yummy tea!,"Luckily I purchased this on a lightning deal for $14.99 I think. I’m disabled and I live in a fixed income so I’m very thrifty with my money.  I really enjoy this tea and I have found that I can re-brew the tea leaves 2-3 times with no loss of flavor. As a matter of fact I prefer the second brew better every time. It’s always smoother. I read somewhere in a review that you should always brew uuur tea for 30-60 seconds and throw that tea out and then brew it the desired amount of time.  Yes, it removes about 90% of the caffeine, but it leaves such a very smooth tasting tea behind.  Sometimes I just mix all 3 brews together in one big Lifefactory glass jar and drink it that way throughout the day. Others I just drink them one after the other. It’s yummy tea.",[],B00VFYPK82,B01KCG2OP0,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-01-23 01:51:58.951,0,False
5,Delicious!,"I love these Clif bars. All that yummy goodness with the chocolate in every bite is just my favorite snack morning, noon, and night. I keep them in my purse at all times. Yes I said them as in 2-3. I’m disabled so I ride the bus or parstransit and it never fails that someone else wants to try it and half a bar leaves me hungry so I always carry spares now. You should too!",[],B007ED2FOA,B09JP7Q6W8,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-01-23 01:46:28.441,0,True
5,Yummy with jasmine flowers!,I was at a bnb recently that had Ahmad teas (bagged) that I thoroughly enjoyed so when I was looking for a loose leaf jasmine this popped up and I decided to give it a try. It’s delightful. I love the smell and the taste. I am disabled and I live on a small fixed income so I’m glad that this is affordable too. I brewed 1 tsp for 5 minutes and I brewed it that way 2 more times so I managed to get 3 servings out of the 1tsp.  I’m very pleased with this purchase and I will definitely be trying more of their loose leaf teas.,[],B00FDWLITM,B0C5KQVWJL,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2019-01-23 01:34:00.942,14,True
5,OMG- purple tea! Color me happy!  Yum yum yummy!!,"Found a yummy tea to match my tumbler!  Lol. Seriously this is my favorite fruit/berry tea. First time I’ve tried it. I purchased it as an add on item.  What a truly pleasant surprise.  I questioned whether I would really get 15-30 servings out of it given the size of the bag, but I’m pleased to say that I measured it out with my teaspoon to be 15 servings so by brewing it twice I will get 30 servings.  I brewed mine the full 5 minutes. Obviously as would be expected the second brew is weaker, but I just mix the 2 brews together in the tumbler shown in the pic. I brew 8 ounces of water. I even tried to make a 3rd brew using 6 ounces of water, but the result was dismal.  I suppose you could still add it to the first two brews if you like s weaker version, but my granddaughter and I decided not to. Sophia age 8 is living this tea as much as I am.  She’s new to loose leaf tea and I’ve now created a little tea monster that my daughter Samantha will have to deal with when I leave. Poor Sam!  Seriously folks of you like fruity, aromatic tea then this tea is for you!  While I was measuring the tea out by teaspoon Sophia actually asked me if she could use the tea bits as potpourri in her room!  It smells divine.  I started to tell her that it would be very expensive potpourri, but let’s face it folks there is even more expensive potpourri than what this costs me so yes- you can use it to make your house smell heavenly too!  Drink up you tea lovers drink up!  I’m raising my purple tumbler to you in a friendly tea toast and please reply to me with the names of your favorite teas and tea makers so that my g baby Fi and I can try them too as well as your favorite kettles, cups, and loose leaf tea holders.  FYI:  I read a review on here yesterday stating that ALL teabags are held together using polymers that scientists are now trying to determine if those polymers cause cance etc. something along those lines anyways.  The reviewer stated that yhst was why they had turned to lease leaf only. As a person who lost both of my parents to pancreatic cancer 22 years apart and has been tested and now knows that I carry an inherited dna gene I urge everyone to begin limiting your exposure and therefore your risk to all things known or suspected to cause cancer. Happy drinking everybody!","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71+CD97PmhL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71+CD97PmhL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71+CD97PmhL.jpg', 'attachment_type': 'IMAGE'}]",B00ECOOV1O,B08KQLCRG7,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2018-08-16 17:40:27.514,88,True
5,Love it!,Lots of awesome tea!,[],B00O80NU00,B01NAYX4S3,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2018-04-07 09:25:31.195,0,False
5,Five Stars,yummy,[],B004OT1TA8,B004OT1TA8,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2015-09-03 06:05:52.000,0,True
4,This hot cereal is pretty delicious - the consistency is very similar to regular ...,"This hot cereal is pretty delicious - the consistency is very similar to regular oatmeal. I added sliced banana and blueberries to it. However, I am giving this product 4 stars because it is quite expensive, and even using a measuring cup was unable to produce the number of servings stated on the bag. I was able to create my own paleo hot cereal with very similar results for half the cost. For my purposes, this product was great for taking along on a road trip for a quick breakfast.",[],B00EZ9GUPG,B0B27QP6BG,AGGZ357AO26RQZVRLGU4D4N52DZQ,2014-08-07 16:50:19.000,1,True
5,PERFECT ALLIUM SUBSTITUTE!!!,"I LOVE this stuff. It smells a lot like Filipino durian but once cooked in a recipe it tastes completely different from the smell. You do have to make a few recipes with it to learn the lesson that a pinch is really enough, because its very easy to add another pinch, but unfortunately that can ruin a recipe. One pinch is enough for about 4 cups worth of food. I use it for everything cooked and it gives a nice flavor when mixed with other spices. Keeps sensitive stomachs happy!!!",[],B07F95KBXK,B08CZYTZ1B,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,2020-08-06 17:58:19.316,2,True
5,"EXCELLENT WATER, HOWEVER...MAY BLOCK IRON ABSORPTION","This is absolutely hands-down my favorite water for when I go walking outdoors. However, make sure to alternate it with juices or other drinks...even regular filtered water. Do not drink while taking iron supplements or if you are anemic. The calcium chloride could block iron absorption. As with everything, moderation is key.",[],B00RQPUV0Q,B0C396H8QB,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,2020-06-19 02:06:47.673,3,True
5,My nearby grocery had this...LOVE IT,"I highly recommend this for those with allergies. It bakes and makes pancakes very nicely. You just have to know what to add in to make it tasty. My default add-ins for any recipe tend to be vanilla extract, about 1/4 to 1/2 tsp sea salt (depending on recipe), baking soda, baking powder and Nutritious Yeast (adds buttery flavor to anything and a good oil like organic non-GMO canola or organic coconut oil (especially delicious for pancakes, donuts or any fried sweets). I usually mix this flour as half of what the recipe calls for with half of another alternative like tapioca (aka cassava), arrowroot flour or coconut flour.",[],B07934PJW2,B07932BBRK,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,2020-06-04 23:20:55.733,1,False
5,GREAT FOR ALLERGIES,"A natural ayurvedic remedy for allergies is between 3000-5000mg vitamin C. I take 2-3 of these packets a day with my water and it helps tremendously with allergies. It also helps my iron absorption but do not take with medications since there are small amounts of other vitamins that can interact with meds. Be sure to check with your doctor, first.",[],B0106K2LFA,B0106K2LFA,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,2020-06-03 21:33:20.409,0,True
1,Now Tastes Sweet With Natural Flavors...AKA GMOs?,"I bought this product religiously years ago. Now, with the new labeling, they've also sweetened the product and I had an allergic reaction to it. I have a severe anaphylactic soy allergy, so I realized I may have reacted to the 'natural flavors' now used in this product. Never buying this again. Instead, I'm buying their powdered wheatgrass, which only contains the ONE ingredient. Simple, effective and GMO-free.",[],B0038B3AAK,B0BZZWHKHQ,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,2018-12-13 23:26:19.282,16,True
